school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
PULASKI COUNTY ELEMENTARY SCHOOL,Georgia,1.30422E+11,1304220,Yes,Yes,5-Title I schoolwide school,32.282,-83.4842,Yes under Community Eligibility Option (CEO),614,36,0,262,263,45,6,2
PULASKI COUNTY MIDDLE SCHOOL,Georgia,1.30422E+11,1304220,Yes,Yes,5-Title I schoolwide school,32.279627,-83.490871,Yes under Community Eligibility Option (CEO),326,9,0,148,132,31,3,3
PULASKI ELEMENTARY SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,31.99679,-81.15553,No,598,38,6,119,257,168,4,6
PUTNAM COUNTY ELEMENTARY SCHOOL,Georgia,1.30426E+11,1304260,Yes,Yes,5-Title I schoolwide school,33.3213,-83.3897,Yes under Community Eligibility Option (CEO),643,20,0,259,224,138,2,0
PUTNAM COUNTY HIGH SCHOOL,Georgia,1.30426E+11,1304260,Yes,Yes,5-Title I schoolwide school,33.414664,-83.36923,Yes under Community Eligibility Option (CEO),836,36,0,398,292,105,4,1
PUTNAM COUNTY MIDDLE SCHOOL,Georgia,1.30426E+11,1304260,Yes,Yes,5-Title I schoolwide school,33.3349,-83.3688,Yes under Community Eligibility Option (CEO),757,31,0,299,288,134,5,0
PUTNAM COUNTY PRIMARY SCHOOL,Georgia,1.30426E+11,1304260,Yes,Yes,5-Title I schoolwide school,33.311,-83.3981,Yes under Community Eligibility Option (CEO),786,42,0,337,270,132,5,0
QUAIL RUN ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.6089,-83.6881,Yes participating without using any Provision or the CEO,626,41,0,330,164,65,25,1
QUITMAN COUNTY ELEMENTARY,Georgia,1.30429E+11,1304290,Yes,Yes,5-Title I schoolwide school,31.885094,-85.08234,Yes under Community Eligibility Option (CEO),178,6,0,38,131,0,1,2
QUITMAN COUNTY HIGH SCHOOL,Georgia,1.30429E+11,1304290,Yes,Yes,5-Title I schoolwide school,31.885094,-85.08234,Yes under Community Eligibility Option (CEO),109,3,0,18,88,0,0,0
QUITMAN ELEMENTARY SCHOOL,Georgia,1.30054E+11,1300540,Yes,Yes,5-Title I schoolwide school,30.816,-83.5633,Yes under Community Eligibility Option (CEO),600,7,0,119,400,74,0,0
R. M. MOORE ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,Yes,Yes,5-Title I schoolwide school,34.339,-84.5296,Yes participating without using any Provision or the CEO,900,40,0,496,35,318,10,1
RABUN COUNTY ELEMENTARY SCHOOL,Georgia,1.30432E+11,1304320,Yes,Yes,5-Title I schoolwide school,34.8265,-83.4069,No,633,19,0,474,3,133,0,4
RABUN COUNTY HIGH SCHOOL,Georgia,1.30432E+11,1304320,,No,6-Not a Title I school,34.827,-83.4213,No,624,12,0,493,6,107,5,1
RABUN COUNTY MIDDLE SCHOOL,Georgia,1.30432E+11,1304320,,No,6-Not a Title I school,34.82711,-83.421243,No,364,10,0,282,1,67,1,3
RABUN COUNTY PRIMARY SCHOOL,Georgia,1.30432E+11,1304320,Yes,Yes,5-Title I schoolwide school,34.825693,-83.412365,No,559,7,0,459,2,89,0,2
RADIUM SPRINGS ELEMENTARY SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5323,-84.1279,Yes under Community Eligibility Option (CEO),450,13,0,35,365,37,0,0
RADIUM SPRINGS MIDDLE SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5183,-84.1276,Yes under Community Eligibility Option (CEO),906,10,1,25,816,51,1,2
RADLOFF MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9459,-84.1397,Yes participating without using any Provision or the CEO,1459,27,2,29,307,1043,50,1
RAINBOW ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7049,-84.2251,Yes under Community Eligibility Option (CEO),313,11,0,4,281,13,2,2
RAINEY MCCULLERS SCHOOL OF THE ARTS,GEORGIA,1.30387E+11,1303870,,No,6-Not a Title I school,32.475259,-84.944115,Yes participating without using any Provision or the CEO,385,28,2,150,146,50,8,1
RANDOLPH CLAY HIGH SCHOOL,Georgia,1.30435E+11,1304350,Yes,Yes,5-Title I schoolwide school,31.710664,-84.859896,Yes under Community Eligibility Option (CEO),250,3,0,0,243,4,0,0
RANDOLPH CLAY MIDDLE SCHOOL,Georgia,1.30435E+11,1304350,Yes,Yes,5-Title I schoolwide school,31.710737,-84.860137,Yes under Community Eligibility Option (CEO),154,5,0,2,147,0,0,0
RANDOLPH COUNTY ELEMENTARY SCHOOL,Georgia,1.30435E+11,1304350,Yes,Yes,5-Title I schoolwide school,31.7762,-84.7965,Yes under Community Eligibility Option (CEO),380,6,0,6,364,1,3,0
RANDOLPH ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.7048,-84.5609,Yes participating without using any Provision or the CEO,535,17,0,0,496,17,5,0
RED BUD ELEMENTARY SCHOOL,Georgia,1.30243E+11,1302430,Yes,Yes,5-Title I schoolwide school,34.5301,-84.8394,No,517,14,0,402,17,81,3,0
RED BUD MIDDLE SCHOOL,Georgia,1.30243E+11,1302430,Yes,Yes,5-Title I schoolwide school,34.528185,-84.839687,No,877,28,0,715,19,108,3,4
RED OAK ELEMENTARY SCHOOL,Georgia,1.30282E+11,1302820,Yes,Yes,5-Title I schoolwide school,33.5236,-84.2645,Yes participating without using any Provision or the CEO,639,29,1,13,459,75,62,0
RED TOP MIDDLE SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.1212,-84.765,Yes participating without using any Provision or the CEO,635,26,0,359,74,167,8,1
REDAN ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7454,-84.1356,Yes under Community Eligibility Option (CEO),520,6,0,1,483,23,3,4
REDAN HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7585,-84.1783,Yes participating without using any Provision or the CEO,902,10,0,6,817,60,7,2
REDAN MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7415,-84.1572,Yes under Community Eligibility Option (CEO),741,13,0,4,662,49,10,3
REESE ROAD LEADERSHIP ACADEMY,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5015,-84.9108,Yes under Community Eligibility Option (CEO),480,50,2,76,248,92,10,2
REHOBOTH ROAD MIDDLE SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.217233,-84.192191,Yes participating without using any Provision or the CEO,675,28,0,305,284,56,1,1
REIDSVILLE ELEMENTARY SCHOOL,Georgia,1.30477E+11,1304770,Yes,Yes,5-Title I schoolwide school,32.085161,-82.111237,Yes under Community Eligibility Option (CEO),776,36,0,338,191,203,8,0
RENAISSANCE ES,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.6142,-84.6284,Yes under Community Eligibility Option (CEO),611,10,0,4,572,23,1,1
RENAISSANCE MIDDLE SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.6164,-84.6214,Yes participating without using any Provision or the CEO,1212,28,0,9,1039,134,2,0
RENFROE MIDDLE SCHOOL,Georgia,1.30168E+11,1301680,,No,6-Not a Title I school,33.7681,-84.299,Yes participating without using any Provision or the CEO,1377,96,0,887,279,66,45,4
RESURGENCE HALL CHARTER SCHOOL,GEORGIA,1.30025E+11,1300247,Yes,Yes,5-Title I schoolwide school,33.674837,-84.44417,Yes participating without using any Provision or the CEO,328,2,0,2,320,4,0,0
REX MILL MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5812,-84.2829,Yes under Community Eligibility Option (CEO),1132,35,2,24,772,270,24,5
RICE CREEK SCHOOL,GEORGIA,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.219043,-81.194708,No,795,59,0,145,468,116,4,3
RICHARDS MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4921,-84.9471,Yes under Community Eligibility Option (CEO),835,55,1,196,464,67,51,1
RICHARDS MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9278,-84.0202,Yes participating without using any Provision or the CEO,2176,57,2,129,696,1084,206,2
RICHMOND COUNTY TECHNICAL CAREER MAGNET SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.414409,-82.047318,Yes under Community Eligibility Option (CEO),524,19,5,77,396,24,3,0
RICHMOND HILL ELEMENTARY SCHOOL,Georgia,1.30057E+11,1300570,,No,6-Not a Title I school,31.936796,-81.313422,Yes participating without using any Provision or the CEO,615,40,0,368,102,73,32,0
RICHMOND HILL HIGH SCHOOL,Georgia,1.30057E+11,1300570,,No,6-Not a Title I school,31.9256,-81.3161,Yes participating without using any Provision or the CEO,2409,159,5,1490,397,279,75,4
RICHMOND HILL K-8,GEORGIA,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.400018,-82.03093,Yes under Community Eligibility Option (CEO),869,30,0,66,747,25,0,1
RICHMOND HILL MIDDLE SCHOOL,Georgia,1.30057E+11,1300570,,No,6-Not a Title I school,31.8484,-81.3122,Yes participating without using any Provision or the CEO,1893,109,7,1191,310,214,60,2
RICHMOND HILL PRIMARY SCHOOL,Georgia,1.30057E+11,1300570,,No,6-Not a Title I school,31.9393,-81.3119,Yes participating without using any Provision or the CEO,742,64,1,420,134,89,33,1
RIDGE ROAD ELEMENTARY SCHOOL,Georgia,1.30549E+11,1305490,Yes,Yes,5-Title I schoolwide school,32.968197,-82.788219,Yes under Community Eligibility Option (CEO),639,22,0,171,434,11,1,0
RIDGE ROAD PRIMARY SCHOOL,Georgia,1.30549E+11,1305490,Yes,Yes,5-Title I schoolwide school,32.968197,-82.788219,Yes under Community Eligibility Option (CEO),722,28,0,202,477,12,1,2
RIDGELAND HIGH SCHOOL,Georgia,1.30537E+11,1305370,,No,6-Not a Title I school,34.9492,-85.3143,Yes participating without using any Provision or the CEO,1274,62,0,1043,101,60,4,4
RIDGEVIEW CHARTER SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.898218,-84.359291,Yes participating without using any Provision or the CEO,1082,23,1,307,195,526,27,3
RIGDON ROAD ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4736,-84.9457,Yes under Community Eligibility Option (CEO),436,21,1,25,369,18,2,0
RINCON ELEMENTARY SCHOOL,Georgia,1.30198E+11,1301980,Yes,Yes,5-Title I schoolwide school,32.296736,-81.204056,Yes participating without using any Provision or the CEO,979,76,1,547,236,100,18,1
RINGGOLD ELEMENTARY SCHOOL,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.901109,-85.142404,Yes participating without using any Provision or the CEO,465,17,0,418,13,9,8,0
RINGGOLD HIGH SCHOOL,Georgia,1.30093E+11,1300930,,No,6-Not a Title I school,34.922581,-85.113,Yes participating without using any Provision or the CEO,1023,25,0,921,25,34,14,4
RINGGOLD MIDDLE SCHOOL,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.9218,-85.1097,Yes participating without using any Provision or the CEO,844,33,0,736,22,37,14,2
RINGGOLD PRIMARY SCHOOL,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.899957,-85.141472,Yes participating without using any Provision or the CEO,539,30,0,469,12,24,4,0
RISE GRAMMAR SCHOOL,GEORGIA,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.676625,-84.473753,Yes participating without using any Provision or the CEO,491,10,0,2,436,42,0,1
RISE PREP SCHOOL,GEORGIA,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.67632,-84.473681,Yes participating without using any Provision or the CEO,313,5,0,0,263,45,0,0
RISING STARR MIDDLE SCHOOL,Georgia,1.30213E+11,1302130,,No,6-Not a Title I school,33.3421,-84.5195,Yes participating without using any Provision or the CEO,941,49,2,649,91,91,56,3
RISLEY MIDDLE SCHOOL,Georgia,1.3024E+11,1302400,Yes,Yes,5-Title I schoolwide school,31.132006,-81.593876,No,696,25,1,367,216,79,8,0
RIVER EVES ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,33.9935,-84.3115,Yes participating without using any Provision or the CEO,544,26,0,219,111,148,40,0
RIVER RIDGE ELEMENTARY,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.5736,-82.1078,Yes participating without using any Provision or the CEO,755,52,1,515,74,54,59,0
RIVER RIDGE HIGH SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.1158,-84.4809,Yes participating without using any Provision or the CEO,1970,87,0,1242,141,424,76,0
RIVER ROAD ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5133,-84.9854,Yes under Community Eligibility Option (CEO),411,37,0,130,99,141,2,2
RIVER TRAIL MIDDLE SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0434,-84.1243,Yes participating without using any Provision or the CEO,1187,48,1,271,161,82,622,2
RIVER'S EDGE ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.4204,-84.3896,Yes under Community Eligibility Option (CEO),647,22,0,11,561,42,9,2
RIVERBEND ELEMENTARY SCHOOL,Georgia,1.30261E+11,1302610,Yes,Yes,5-Title I schoolwide school,34.3334,-83.8122,Yes participating without using any Provision or the CEO,394,3,0,208,10,164,6,3
RIVERDALE ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.585062,-84.392485,Yes under Community Eligibility Option (CEO),662,14,1,4,446,177,19,1
RIVERDALE HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5573,-84.402,Yes under Community Eligibility Option (CEO),1325,17,0,12,1018,233,44,1
RIVERDALE MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5632,-84.4071,Yes under Community Eligibility Option (CEO),734,18,0,6,558,128,20,4
RIVERS ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.8195,-84.39,Yes participating without using any Provision or the CEO,716,36,1,319,194,139,21,6
RIVERSIDE ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0937,-84.097,Yes participating without using any Provision or the CEO,919,40,1,400,96,81,301,0
RIVERSIDE ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.7887,-84.5682,Yes participating without using any Provision or the CEO,515,16,1,11,335,150,1,1
RIVERSIDE ELEMENTARY SCHOOL,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.5792,-82.13,Yes participating without using any Provision or the CEO,666,35,2,463,89,58,18,1
RIVERSIDE MIDDLE SCHOOL,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.5723,-82.1171,Yes participating without using any Provision or the CEO,720,49,1,483,114,47,23,3
RIVERVIEW ELEMENTARY SCHOOL,Georgia,1.30165E+11,1301650,Yes,Yes,5-Title I schoolwide school,34.353642,-84.119128,Yes participating without using any Provision or the CEO,394,13,0,338,6,36,1,0
RIVERWATCH MIDDLE SCHOOL,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.1244,-84.1096,Yes participating without using any Provision or the CEO,1552,50,2,470,89,108,823,10
RIVERWOOD INTERNATIONAL CHARTER SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,33.917463,-84.417105,Yes participating without using any Provision or the CEO,1742,39,1,618,404,639,40,1
ROAN ELEMENTARY SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.7756,-84.9497,Yes under Provision 2,460,7,0,16,24,411,0,2
ROBERT A. CROSS MIDDLE MAGNET,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5734,-84.2497,Yes under Community Eligibility Option (CEO),630,13,1,32,548,28,8,0
ROBERT H HARVEY ELEMENTARY SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5867,-84.1218,Yes under Community Eligibility Option (CEO),542,3,0,1,531,6,1,0
ROBERT J. BURCH ELEMENTARY SCHOOL,Georgia,1.30213E+11,1302130,Yes,Yes,5-Title I schoolwide school,33.494,-84.5701,Yes participating without using any Provision or the CEO,587,35,0,111,280,148,12,1
ROBERT SHAW THEME SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7862,-84.2547,Yes under Community Eligibility Option (CEO),413,0,0,2,386,9,15,1
ROBERTA T. SMITH ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5817,-84.2874,Yes under Community Eligibility Option (CEO),833,29,0,26,563,192,21,2
ROBERTS ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.072591,-84.051091,Yes participating without using any Provision or the CEO,833,55,2,276,106,73,321,0
ROBINSON ELEMENTARY SCHOOL,Georgia,1.30165E+11,1301650,Yes,Yes,5-Title I schoolwide school,34.421,-84.1046,Yes participating without using any Provision or the CEO,557,10,0,512,1,30,2,2
ROCK CHAPEL ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.759733,-84.079952,Yes participating without using any Provision or the CEO,490,16,0,6,433,28,4,3
ROCK SPRING ELEMENTARY,Georgia,1.30282E+11,1302820,,No,6-Not a Title I school,33.42154,-83.984529,Yes participating without using any Provision or the CEO,746,47,0,477,140,76,5,1
ROCK SPRING ELEMENTARY SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.8155,-85.2381,Yes participating without using any Provision or the CEO,388,16,0,351,9,9,3,0
ROCK SPRINGS ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0499,-84.0068,Yes participating without using any Provision or the CEO,762,64,3,154,215,220,103,3
ROCKBRIDGE ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.8996,-84.1948,Yes participating without using any Provision or the CEO,1113,6,1,18,130,882,74,2
ROCKBRIDGE ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.78872,-84.197601,Yes under Community Eligibility Option (CEO),903,31,0,11,735,70,50,6
ROCKDALE COUNTY HIGH SCHOOL,Georgia,1.30441E+11,1304410,Yes,Yes,5-Title I schoolwide school,33.6674,-84.0074,Yes participating without using any Provision or the CEO,2203,70,6,190,1582,309,42,4
ROCKDALE RYDC,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.6862,-84.0551,Yes participating without using any Provision or the CEO,4,0,0,2,2,0,0,0
ROCKMART HIGH SCHOOL,Georgia,1.3042E+11,1304200,Yes,Yes,5-Title I schoolwide school,34.019125,-85.0205,Yes under Community Eligibility Option (CEO),983,47,2,733,160,37,2,2
ROCKMART MIDDLE SCHOOL,Georgia,1.3042E+11,1304200,Yes,Yes,5-Title I schoolwide school,34.0202,-85.016,Yes under Community Eligibility Option (CEO),759,58,1,514,141,42,1,2
ROCKY BRANCH ELEMENTARY SCHOOL,Georgia,1.30396E+11,1303960,,No,6-Not a Title I school,33.877394,-83.530981,Yes participating without using any Provision or the CEO,551,23,0,451,14,23,40,0
ROCKY CREEK ELEMENTARY,Georgia,1.30282E+11,1302820,,No,6-Not a Title I school,33.3786,-84.2474,Yes participating without using any Provision or the CEO,672,32,0,186,376,67,10,1
ROCKY MOUNT ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0474,-84.4792,Yes participating without using any Provision or the CEO,527,33,0,324,51,57,62,0
ROCKY PLAINS ELEMENTARY SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.430767,-83.897835,Yes participating without using any Provision or the CEO,527,39,0,241,204,39,2,2
ROLAND W. RUSSOM ELEMENTARY,Georgia,1.30402E+11,1304020,,No,6-Not a Title I school,34.022553,-84.748642,Yes participating without using any Provision or the CEO,847,45,0,552,154,88,6,2
ROME HIGH SCHOOL,Georgia,1.30444E+11,1304440,Yes,Yes,5-Title I schoolwide school,34.28696,-85.152475,Yes under Provision 2,1943,62,2,509,622,691,57,0
ROME MIDDLE SCHOOL,Georgia,1.30444E+11,1304440,Yes,Yes,5-Title I schoolwide school,34.2878,-85.149,Yes under Community Eligibility Option (CEO),1040,42,0,234,348,392,22,2
RONALD E MCNAIR DISCOVER LEARNING ACADEMY ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.72728,-84.306811,Yes under Community Eligibility Option (CEO),611,8,0,10,562,29,0,2
ROOPVILLE ELEMENTARY SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.462,-85.1295,Yes participating without using any Provision or the CEO,422,22,0,351,25,16,8,0
ROSA TAYLOR ELEMENTARY SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.8766,-83.6779,Yes under Community Eligibility Option (CEO),591,27,0,96,417,39,10,2
ROSEBUD ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.818646,-83.964781,Yes participating without using any Provision or the CEO,982,46,2,39,735,138,21,1
ROSEMONT ELEMENTARY SCHOOL,Georgia,1.3E+11,1300001,Yes,Yes,5-Title I schoolwide school,32.9608,-84.9483,Yes participating without using any Provision or the CEO,554,35,0,431,54,15,19,0
ROSSVILLE ELEMENTARY SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.9761,-85.3091,Yes participating without using any Provision or the CEO,425,15,0,308,55,44,2,1
ROSSVILLE MIDDLE SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.938465,-85.314813,Yes participating without using any Provision or the CEO,480,27,0,350,66,36,0,1
ROSWELL HIGH SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0631,-84.3812,Yes participating without using any Provision or the CEO,2254,73,1,1247,305,551,75,2
ROSWELL NORTH ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0379,-84.3687,Yes participating without using any Provision or the CEO,815,46,2,559,90,96,21,1
ROTHSCHILD LEADERSHIP ACADEMY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4682,-84.9172,Yes under Community Eligibility Option (CEO),552,22,0,14,487,28,0,1
ROWLAND ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7585,-84.2232,Yes under Community Eligibility Option (CEO),416,10,3,4,301,54,43,1
ROYSTON ELEMENTARY SCHOOL,Georgia,1.30225E+11,1302250,Yes,Yes,5-Title I schoolwide school,34.2889,-83.1139,No,494,27,0,342,69,45,10,1
RUSKIN ELEMENTARY SCHOOL,Georgia,1.30543E+11,1305430,Yes,Yes,5-Title I schoolwide school,31.157895,-82.438832,Yes under Community Eligibility Option (CEO),402,41,0,171,137,52,0,1
RUSSELL ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,Yes,Yes,5-Title I schoolwide school,32.5961,-83.6354,Yes under Community Eligibility Option (CEO),608,50,0,202,242,91,23,0
RUSSELL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8583,-84.5689,Yes participating without using any Provision or the CEO,569,27,0,88,203,237,12,2
RUSSELL MIDDLE SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,34.005473,-83.734759,No,951,48,1,530,122,186,60,4
RUTH HILL ELEMENTARY SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.3735,-84.817,Yes participating without using any Provision or the CEO,362,16,0,123,174,48,1,0
RUTLAND HIGH SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.737742,-83.714196,Yes under Community Eligibility Option (CEO),924,28,0,308,444,125,18,1
RUTLAND MIDDLE SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.736895,-83.715214,Yes under Community Eligibility Option (CEO),815,25,0,244,432,102,12,0
S G A ELEMENTARY SCHOOL,Georgia,1.30066E+11,1300660,Yes,Yes,5-Title I schoolwide school,32.984,-81.7744,Yes under Community Eligibility Option (CEO),269,6,0,106,148,8,1,0
S. L. LEWIS ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.5765,-84.5042,Yes under Community Eligibility Option (CEO),520,10,0,3,468,37,0,2
S.L. MASON ELEMENTARY SCHOOL,Georgia,1.30531E+11,1305310,Yes,Yes,5-Title I schoolwide school,30.83693,-83.297685,Yes under Community Eligibility Option (CEO),839,34,2,123,578,95,7,0
SADDLE RIDGE ELEMENTARY AND MIDDLE SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.845159,-85.239654,Yes participating without using any Provision or the CEO,663,31,0,606,11,14,1,0
SAGAMORE HILLS ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.8332,-84.3038,Yes participating without using any Provision or the CEO,443,32,0,210,75,96,28,2
SAIL CHARTER ACADEMY - SCHOOL FOR ARTS-INFUSED LEARNING,GEORGIA,1.30025E+11,1300245,Yes,Yes,5-Title I schoolwide school,33.555027,-82.16781,Yes participating without using any Provision or the CEO,544,35,2,340,90,68,7,2
SAINT MARYS ELEMENTARY SCHOOL,Georgia,1.30078E+11,1300780,Yes,Yes,5-Title I schoolwide school,30.7281,-81.5463,No,608,59,2,372,116,56,3,0
SAINT MARYS MIDDLE SCHOOL,Georgia,1.30078E+11,1300780,Yes,Yes,5-Title I schoolwide school,30.7537,-81.5731,No,1088,82,3,654,228,105,12,4
SALEM HIGH SCHOOL,Georgia,1.30441E+11,1304410,Yes,Yes,5-Title I schoolwide school,33.5954,-83.9897,Yes participating without using any Provision or the CEO,1141,34,1,60,906,123,14,3
SALEM MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.6769,-84.1722,Yes under Community Eligibility Option (CEO),1032,16,0,3,971,39,0,3
SALLAS MAHONE ELEMENTARY,Georgia,1.30531E+11,1305310,Yes,Yes,5-Title I schoolwide school,30.898744,-83.284093,Yes under Community Eligibility Option (CEO),1053,49,0,235,655,83,30,1
SALLIE ZETTEROWER ELEMENTARY SCHOOL,Georgia,1.30063E+11,1300630,Yes,Yes,5-Title I schoolwide school,32.419517,-81.753009,No,697,44,0,193,363,74,22,1
SALLY DAILEY MEADOWS ELEMENTARY SCHOOL,Georgia,1.30534E+11,1305340,Yes,Yes,5-Title I schoolwide school,32.2053,-82.4033,Yes under Community Eligibility Option (CEO),673,27,0,231,349,64,1,1
